domain,group,operation,path,risk,route_id,title
training,business-operations,model,library/routes/business-operations/111-training-model,HIGH,111-training-model,Model Training
executive-reporting,business-operations,review,library/routes/business-operations/112-executive-reporting-review,HIGH,112-executive-reporting-review,Review Executive Reporting
executive-reporting,business-operations,design-process,library/routes/business-operations/112-executive-reporting-design-process,HIGH,112-executive-reporting-design-process,Design Process Executive Reporting
contract-preparation,legal-compliance-prep,research,library/routes/legal-compliance-prep/113-contract-preparation-research,CRITICAL,113-contract-preparation-research,Research Contract Preparation
contract-preparation,legal-compliance-prep,prepare-brief,library/routes/legal-compliance-prep/113-contract-preparation-prepare-brief,CRITICAL,113-contract-preparation-prepare-brief,Prepare Brief Contract Preparation
privacy-compliance-prep,legal-compliance-prep,classify,library/routes/legal-compliance-prep/114-privacy-compliance-prep-classify,CRITICAL,114-privacy-compliance-prep-classify,Classify Privacy Compliance Prep
privacy-compliance-prep,legal-compliance-prep,audit-readiness,library/routes/legal-compliance-prep/114-privacy-compliance-prep-audit-readiness,CRITICAL,114-privacy-compliance-prep-audit-readiness,Audit Readiness Privacy Compliance Prep
security-compliance-prep,legal-compliance-prep,prepare-brief,library/routes/legal-compliance-prep/115-security-compliance-prep-prepare-brief,CRITICAL,115-security-compliance-prep-prepare-brief,Prepare Brief Security Compliance Prep
security-compliance-prep,legal-compliance-prep,research,library/routes/legal-compliance-prep/115-security-compliance-prep-research,CRITICAL,115-security-compliance-prep-research,Research Security Compliance Prep
tax-research-prep,legal-compliance-prep,audit-readiness,library/routes/legal-compliance-prep/116-tax-research-prep-audit-readiness,CRITICAL,116-tax-research-prep-audit-readiness,Audit Readiness Tax Research Prep
tax-research-prep,legal-compliance-prep,classify,library/routes/legal-compliance-prep/116-tax-research-prep-classify,CRITICAL,116-tax-research-prep-classify,Classify Tax Research Prep
employment-law-prep,legal-compliance-prep,research,library/routes/legal-compliance-prep/117-employment-law-prep-research,CRITICAL,117-employment-law-prep-research,Research Employment Law Prep
employment-law-prep,legal-compliance-prep,prepare-brief,library/routes/legal-compliance-prep/117-employment-law-prep-prepare-brief,CRITICAL,117-employment-law-prep-prepare-brief,Prepare Brief Employment Law Prep
ip-research-prep,legal-compliance-prep,classify,library/routes/legal-compliance-prep/118-ip-research-prep-classify,CRITICAL,118-ip-research-prep-classify,Classify Ip Research Prep
ip-research-prep,legal-compliance-prep,audit-readiness,library/routes/legal-compliance-prep/118-ip-research-prep-audit-readiness,CRITICAL,118-ip-research-prep-audit-readiness,Audit Readiness Ip Research Prep
regulatory-research-prep,legal-compliance-prep,prepare-brief,library/routes/legal-compliance-prep/119-regulatory-research-prep-prepare-brief,CRITICAL,119-regulatory-research-prep-prepare-brief,Prepare Brief Regulatory Research Prep
regulatory-research-prep,legal-compliance-prep,research,library/routes/legal-compliance-prep/119-regulatory-research-prep-research,CRITICAL,119-regulatory-research-prep-research,Research Regulatory Research Prep
vendor-due-diligence,legal-compliance-prep,audit-readiness,library/routes/legal-compliance-prep/120-vendor-due-diligence-audit-readiness,CRITICAL,120-vendor-due-diligence-audit-readiness,Audit Readiness Vendor Due Diligence
vendor-due-diligence,legal-compliance-prep,classify,library/routes/legal-compliance-prep/120-vendor-due-diligence-classify,CRITICAL,120-vendor-due-diligence-classify,Classify Vendor Due Diligence
data-processing-agreements,legal-compliance-prep,research,library/routes/legal-compliance-prep/121-data-processing-agreements-research,CRITICAL,121-data-processing-agreements-research,Research Data Processing Agreements
data-processing-agreements,legal-compliance-prep,prepare-brief,library/routes/legal-compliance-prep/121-data-processing-agreements-prepare-brief,CRITICAL,121-data-processing-agreements-prepare-brief,Prepare Brief Data Processing Agreements
terms-policy-prep,legal-compliance-prep,classify,library/routes/legal-compliance-prep/122-terms-policy-prep-classify,CRITICAL,122-terms-policy-prep-classify,Classify Terms Policy Prep
terms-policy-prep,legal-compliance-prep,audit-readiness,library/routes/legal-compliance-prep/122-terms-policy-prep-audit-readiness,CRITICAL,122-terms-policy-prep-audit-readiness,Audit Readiness Terms Policy Prep
audit-readiness,legal-compliance-prep,prepare-brief,library/routes/legal-compliance-prep/123-audit-readiness-prepare-brief,CRITICAL,123-audit-readiness-prepare-brief,Prepare Brief Audit Readiness
audit-readiness,legal-compliance-prep,research,library/routes/legal-compliance-prep/123-audit-readiness-research,CRITICAL,123-audit-readiness-research,Research Audit Readiness
record-retention,legal-compliance-prep,audit-readiness,library/routes/legal-compliance-prep/124-record-retention-audit-readiness,CRITICAL,124-record-retention-audit-readiness,Audit Readiness Record Retention
record-retention,legal-compliance-prep,classify,library/routes/legal-compliance-prep/124-record-retention-classify,CRITICAL,124-record-retention-classify,Classify Record Retention
international-expansion-prep,legal-compliance-prep,research,library/routes/legal-compliance-prep/125-international-expansion-prep-research,CRITICAL,125-international-expansion-prep-research,Research International Expansion Prep
international-expansion-prep,legal-compliance-prep,prepare-brief,library/routes/legal-compliance-prep/125-international-expansion-prep-prepare-brief,CRITICAL,125-international-expansion-prep-prepare-brief,Prepare Brief International Expansion Prep
payments-regulation-prep,legal-compliance-prep,classify,library/routes/legal-compliance-prep/126-payments-regulation-prep-classify,CRITICAL,126-payments-regulation-prep-classify,Classify Payments Regulation Prep
payments-regulation-prep,legal-compliance-prep,audit-readiness,library/routes/legal-compliance-prep/126-payments-regulation-prep-audit-readiness,CRITICAL,126-payments-regulation-prep-audit-readiness,Audit Readiness Payments Regulation Prep
consumer-protection-prep,legal-compliance-prep,prepare-brief,library/routes/legal-compliance-prep/127-consumer-protection-prep-prepare-brief,CRITICAL,127-consumer-protection-prep-prepare-brief,Prepare Brief Consumer Protection Prep
consumer-protection-prep,legal-compliance-prep,research,library/routes/legal-compliance-prep/127-consumer-protection-prep-research,CRITICAL,127-consumer-protection-prep-research,Research Consumer Protection Prep
ai-governance-prep,legal-compliance-prep,audit-readiness,library/routes/legal-compliance-prep/128-ai-governance-prep-audit-readiness,CRITICAL,128-ai-governance-prep-audit-readiness,Audit Readiness Ai Governance Prep
ai-governance-prep,legal-compliance-prep,classify,library/routes/legal-compliance-prep/128-ai-governance-prep-classify,CRITICAL,128-ai-governance-prep-classify,Classify Ai Governance Prep
web-research,research-knowledge,frame,library/routes/research-knowledge/129-web-research-frame,MEDIUM,129-web-research-frame,Frame Web Research
web-research,research-knowledge,verify,library/routes/research-knowledge/129-web-research-verify,MEDIUM,129-web-research-verify,Verify Web Research
scientific-literature,research-knowledge,collect,library/routes/research-knowledge/130-scientific-literature-collect,MEDIUM,130-scientific-literature-collect,Collect Scientific Literature
scientific-literature,research-knowledge,synthesize,library/routes/research-knowledge/130-scientific-literature-synthesize,MEDIUM,130-scientific-literature-synthesize,Synthesize Scientific Literature
competitive-intelligence,research-knowledge,verify,library/routes/research-knowledge/131-competitive-intelligence-verify,MEDIUM,131-competitive-intelligence-verify,Verify Competitive Intelligence
competitive-intelligence,research-knowledge,frame,library/routes/research-knowledge/131-competitive-intelligence-frame,MEDIUM,131-competitive-intelligence-frame,Frame Competitive Intelligence
source-verification,research-knowledge,synthesize,library/routes/research-knowledge/132-source-verification-synthesize,MEDIUM,132-source-verification-synthesize,Synthesize Source Verification
source-verification,research-knowledge,collect,library/routes/research-knowledge/132-source-verification-collect,MEDIUM,132-source-verification-collect,Collect Source Verification
evidence-synthesis,research-knowledge,frame,library/routes/research-knowledge/133-evidence-synthesis-frame,MEDIUM,133-evidence-synthesis-frame,Frame Evidence Synthesis
evidence-synthesis,research-knowledge,verify,library/routes/research-knowledge/133-evidence-synthesis-verify,MEDIUM,133-evidence-synthesis-verify,Verify Evidence Synthesis
survey-design,research-knowledge,collect,library/routes/research-knowledge/134-survey-design-collect,MEDIUM,134-survey-design-collect,Collect Survey Design
survey-design,research-knowledge,synthesize,library/routes/research-knowledge/134-survey-design-synthesize,MEDIUM,134-survey-design-synthesize,Synthesize Survey Design
qualitative-analysis,research-knowledge,verify,library/routes/research-knowledge/135-qualitative-analysis-verify,MEDIUM,135-qualitative-analysis-verify,Verify Qualitative Analysis
qualitative-analysis,research-knowledge,frame,library/routes/research-knowledge/135-qualitative-analysis-frame,MEDIUM,135-qualitative-analysis-frame,Frame Qualitative Analysis
quantitative-analysis,research-knowledge,synthesize,library/routes/research-knowledge/136-quantitative-analysis-synthesize,MEDIUM,136-quantitative-analysis-synthesize,Synthesize Quantitative Analysis
quantitative-analysis,research-knowledge,collect,library/routes/research-knowledge/136-quantitative-analysis-collect,MEDIUM,136-quantitative-analysis-collect,Collect Quantitative Analysis
knowledge-graphs,research-knowledge,frame,library/routes/research-knowledge/137-knowledge-graphs-frame,MEDIUM,137-knowledge-graphs-frame,Frame Knowledge Graphs
knowledge-graphs,research-knowledge,verify,library/routes/research-knowledge/137-knowledge-graphs-verify,MEDIUM,137-knowledge-graphs-verify,Verify Knowledge Graphs
taxonomy-design,research-knowledge,collect,library/routes/research-knowledge/138-taxonomy-design-collect,MEDIUM,138-taxonomy-design-collect,Collect Taxonomy Design
taxonomy-design,research-knowledge,synthesize,library/routes/research-knowledge/138-taxonomy-design-synthesize,MEDIUM,138-taxonomy-design-synthesize,Synthesize Taxonomy Design
document-synthesis,research-knowledge,verify,library/routes/research-knowledge/139-document-synthesis-verify,MEDIUM,139-document-synthesis-verify,Verify Document Synthesis
document-synthesis,research-knowledge,frame,library/routes/research-knowledge/139-document-synthesis-frame,MEDIUM,139-document-synthesis-frame,Frame Document Synthesis
fact-checking,research-knowledge,synthesize,library/routes/research-knowledge/140-fact-checking-synthesize,MEDIUM,140-fact-checking-synthesize,Synthesize Fact Checking
fact-checking,research-knowledge,collect,library/routes/research-knowledge/140-fact-checking-collect,MEDIUM,140-fact-checking-collect,Collect Fact Checking
historical-analysis,research-knowledge,frame,library/routes/research-knowledge/141-historical-analysis-frame,MEDIUM,141-historical-analysis-frame,Frame Historical Analysis
historical-analysis,research-knowledge,verify,library/routes/research-knowledge/141-historical-analysis-verify,MEDIUM,141-historical-analysis-verify,Verify Historical Analysis
policy-research,research-knowledge,collect,library/routes/research-knowledge/142-policy-research-collect,MEDIUM,142-policy-research-collect,Collect Policy Research
policy-research,research-knowledge,synthesize,library/routes/research-knowledge/142-policy-research-synthesize,MEDIUM,142-policy-research-synthesize,Synthesize Policy Research
technical-writing,research-knowledge,verify,library/routes/research-knowledge/143-technical-writing-verify,MEDIUM,143-technical-writing-verify,Verify Technical Writing
technical-writing,research-knowledge,frame,library/routes/research-knowledge/143-technical-writing-frame,MEDIUM,143-technical-writing-frame,Frame Technical Writing
decision-memos,research-knowledge,synthesize,library/routes/research-knowledge/144-decision-memos-synthesize,MEDIUM,144-decision-memos-synthesize,Synthesize Decision Memos
decision-memos,research-knowledge,collect,library/routes/research-knowledge/144-decision-memos-collect,MEDIUM,144-decision-memos-collect,Collect Decision Memos
