domain,group,name,path,title
contract-preparation,legal-compliance-prep,prepare-issue-map-contract-preparation,library/skills/legal-compliance-prep/prepare-issue-map-contract-preparation,Prepare Issue Map: Contract Preparation
contract-preparation,legal-compliance-prep,build-review-packet-contract-preparation,library/skills/legal-compliance-prep/build-review-packet-contract-preparation,Build Review Packet: Contract Preparation
privacy-compliance-prep,legal-compliance-prep,prepare-issue-map-privacy-compliance-prep,library/skills/legal-compliance-prep/prepare-issue-map-privacy-compliance-prep,Prepare Issue Map: Privacy Compliance Prep
privacy-compliance-prep,legal-compliance-prep,build-review-packet-privacy-compliance-prep,library/skills/legal-compliance-prep/build-review-packet-privacy-compliance-prep,Build Review Packet: Privacy Compliance Prep
security-compliance-prep,legal-compliance-prep,prepare-issue-map-security-compliance-prep,library/skills/legal-compliance-prep/prepare-issue-map-security-compliance-prep,Prepare Issue Map: Security Compliance Prep
security-compliance-prep,legal-compliance-prep,build-review-packet-security-compliance-prep,library/skills/legal-compliance-prep/build-review-packet-security-compliance-prep,Build Review Packet: Security Compliance Prep
tax-research-prep,legal-compliance-prep,prepare-issue-map-tax-research-prep,library/skills/legal-compliance-prep/prepare-issue-map-tax-research-prep,Prepare Issue Map: Tax Research Prep
tax-research-prep,legal-compliance-prep,build-review-packet-tax-research-prep,library/skills/legal-compliance-prep/build-review-packet-tax-research-prep,Build Review Packet: Tax Research Prep
employment-law-prep,legal-compliance-prep,prepare-issue-map-employment-law-prep,library/skills/legal-compliance-prep/prepare-issue-map-employment-law-prep,Prepare Issue Map: Employment Law Prep
employment-law-prep,legal-compliance-prep,build-review-packet-employment-law-prep,library/skills/legal-compliance-prep/build-review-packet-employment-law-prep,Build Review Packet: Employment Law Prep
ip-research-prep,legal-compliance-prep,prepare-issue-map-ip-research-prep,library/skills/legal-compliance-prep/prepare-issue-map-ip-research-prep,Prepare Issue Map: Ip Research Prep
ip-research-prep,legal-compliance-prep,build-review-packet-ip-research-prep,library/skills/legal-compliance-prep/build-review-packet-ip-research-prep,Build Review Packet: Ip Research Prep
regulatory-research-prep,legal-compliance-prep,prepare-issue-map-regulatory-research-prep,library/skills/legal-compliance-prep/prepare-issue-map-regulatory-research-prep,Prepare Issue Map: Regulatory Research Prep
regulatory-research-prep,legal-compliance-prep,build-review-packet-regulatory-research-prep,library/skills/legal-compliance-prep/build-review-packet-regulatory-research-prep,Build Review Packet: Regulatory Research Prep
vendor-due-diligence,legal-compliance-prep,prepare-issue-map-vendor-due-diligence,library/skills/legal-compliance-prep/prepare-issue-map-vendor-due-diligence,Prepare Issue Map: Vendor Due Diligence
vendor-due-diligence,legal-compliance-prep,build-review-packet-vendor-due-diligence,library/skills/legal-compliance-prep/build-review-packet-vendor-due-diligence,Build Review Packet: Vendor Due Diligence
data-processing-agreements,legal-compliance-prep,prepare-issue-map-data-processing-agreements,library/skills/legal-compliance-prep/prepare-issue-map-data-processing-agreements,Prepare Issue Map: Data Processing Agreements
data-processing-agreements,legal-compliance-prep,build-review-packet-data-processing-agreements,library/skills/legal-compliance-prep/build-review-packet-data-processing-agreements,Build Review Packet: Data Processing Agreements
terms-policy-prep,legal-compliance-prep,prepare-issue-map-terms-policy-prep,library/skills/legal-compliance-prep/prepare-issue-map-terms-policy-prep,Prepare Issue Map: Terms Policy Prep
terms-policy-prep,legal-compliance-prep,build-review-packet-terms-policy-prep,library/skills/legal-compliance-prep/build-review-packet-terms-policy-prep,Build Review Packet: Terms Policy Prep
audit-readiness,legal-compliance-prep,prepare-issue-map-audit-readiness,library/skills/legal-compliance-prep/prepare-issue-map-audit-readiness,Prepare Issue Map: Audit Readiness
audit-readiness,legal-compliance-prep,build-review-packet-audit-readiness,library/skills/legal-compliance-prep/build-review-packet-audit-readiness,Build Review Packet: Audit Readiness
record-retention,legal-compliance-prep,prepare-issue-map-record-retention,library/skills/legal-compliance-prep/prepare-issue-map-record-retention,Prepare Issue Map: Record Retention
record-retention,legal-compliance-prep,build-review-packet-record-retention,library/skills/legal-compliance-prep/build-review-packet-record-retention,Build Review Packet: Record Retention
international-expansion-prep,legal-compliance-prep,prepare-issue-map-international-expansion-prep,library/skills/legal-compliance-prep/prepare-issue-map-international-expansion-prep,Prepare Issue Map: International Expansion Prep
international-expansion-prep,legal-compliance-prep,build-review-packet-international-expansion-prep,library/skills/legal-compliance-prep/build-review-packet-international-expansion-prep,Build Review Packet: International Expansion Prep
payments-regulation-prep,legal-compliance-prep,prepare-issue-map-payments-regulation-prep,library/skills/legal-compliance-prep/prepare-issue-map-payments-regulation-prep,Prepare Issue Map: Payments Regulation Prep
payments-regulation-prep,legal-compliance-prep,build-review-packet-payments-regulation-prep,library/skills/legal-compliance-prep/build-review-packet-payments-regulation-prep,Build Review Packet: Payments Regulation Prep
consumer-protection-prep,legal-compliance-prep,prepare-issue-map-consumer-protection-prep,library/skills/legal-compliance-prep/prepare-issue-map-consumer-protection-prep,Prepare Issue Map: Consumer Protection Prep
consumer-protection-prep,legal-compliance-prep,build-review-packet-consumer-protection-prep,library/skills/legal-compliance-prep/build-review-packet-consumer-protection-prep,Build Review Packet: Consumer Protection Prep
ai-governance-prep,legal-compliance-prep,prepare-issue-map-ai-governance-prep,library/skills/legal-compliance-prep/prepare-issue-map-ai-governance-prep,Prepare Issue Map: Ai Governance Prep
ai-governance-prep,legal-compliance-prep,build-review-packet-ai-governance-prep,library/skills/legal-compliance-prep/build-review-packet-ai-governance-prep,Build Review Packet: Ai Governance Prep
web-research,research-knowledge,verify-evidence-web-research,library/skills/research-knowledge/verify-evidence-web-research,Verify Evidence: Web Research
web-research,research-knowledge,synthesize-decision-web-research,library/skills/research-knowledge/synthesize-decision-web-research,Synthesize Decision: Web Research
scientific-literature,research-knowledge,verify-evidence-scientific-literature,library/skills/research-knowledge/verify-evidence-scientific-literature,Verify Evidence: Scientific Literature
scientific-literature,research-knowledge,synthesize-decision-scientific-literature,library/skills/research-knowledge/synthesize-decision-scientific-literature,Synthesize Decision: Scientific Literature
competitive-intelligence,research-knowledge,verify-evidence-competitive-intelligence,library/skills/research-knowledge/verify-evidence-competitive-intelligence,Verify Evidence: Competitive Intelligence
competitive-intelligence,research-knowledge,synthesize-decision-competitive-intelligence,library/skills/research-knowledge/synthesize-decision-competitive-intelligence,Synthesize Decision: Competitive Intelligence
source-verification,research-knowledge,verify-evidence-source-verification,library/skills/research-knowledge/verify-evidence-source-verification,Verify Evidence: Source Verification
source-verification,research-knowledge,synthesize-decision-source-verification,library/skills/research-knowledge/synthesize-decision-source-verification,Synthesize Decision: Source Verification
evidence-synthesis,research-knowledge,verify-evidence-evidence-synthesis,library/skills/research-knowledge/verify-evidence-evidence-synthesis,Verify Evidence: Evidence Synthesis
evidence-synthesis,research-knowledge,synthesize-decision-evidence-synthesis,library/skills/research-knowledge/synthesize-decision-evidence-synthesis,Synthesize Decision: Evidence Synthesis
survey-design,research-knowledge,verify-evidence-survey-design,library/skills/research-knowledge/verify-evidence-survey-design,Verify Evidence: Survey Design
survey-design,research-knowledge,synthesize-decision-survey-design,library/skills/research-knowledge/synthesize-decision-survey-design,Synthesize Decision: Survey Design
qualitative-analysis,research-knowledge,verify-evidence-qualitative-analysis,library/skills/research-knowledge/verify-evidence-qualitative-analysis,Verify Evidence: Qualitative Analysis
qualitative-analysis,research-knowledge,synthesize-decision-qualitative-analysis,library/skills/research-knowledge/synthesize-decision-qualitative-analysis,Synthesize Decision: Qualitative Analysis
quantitative-analysis,research-knowledge,verify-evidence-quantitative-analysis,library/skills/research-knowledge/verify-evidence-quantitative-analysis,Verify Evidence: Quantitative Analysis
quantitative-analysis,research-knowledge,synthesize-decision-quantitative-analysis,library/skills/research-knowledge/synthesize-decision-quantitative-analysis,Synthesize Decision: Quantitative Analysis
knowledge-graphs,research-knowledge,verify-evidence-knowledge-graphs,library/skills/research-knowledge/verify-evidence-knowledge-graphs,Verify Evidence: Knowledge Graphs
knowledge-graphs,research-knowledge,synthesize-decision-knowledge-graphs,library/skills/research-knowledge/synthesize-decision-knowledge-graphs,Synthesize Decision: Knowledge Graphs
taxonomy-design,research-knowledge,verify-evidence-taxonomy-design,library/skills/research-knowledge/verify-evidence-taxonomy-design,Verify Evidence: Taxonomy Design
taxonomy-design,research-knowledge,synthesize-decision-taxonomy-design,library/skills/research-knowledge/synthesize-decision-taxonomy-design,Synthesize Decision: Taxonomy Design
document-synthesis,research-knowledge,verify-evidence-document-synthesis,library/skills/research-knowledge/verify-evidence-document-synthesis,Verify Evidence: Document Synthesis
document-synthesis,research-knowledge,synthesize-decision-document-synthesis,library/skills/research-knowledge/synthesize-decision-document-synthesis,Synthesize Decision: Document Synthesis
fact-checking,research-knowledge,verify-evidence-fact-checking,library/skills/research-knowledge/verify-evidence-fact-checking,Verify Evidence: Fact Checking
fact-checking,research-knowledge,synthesize-decision-fact-checking,library/skills/research-knowledge/synthesize-decision-fact-checking,Synthesize Decision: Fact Checking
historical-analysis,research-knowledge,verify-evidence-historical-analysis,library/skills/research-knowledge/verify-evidence-historical-analysis,Verify Evidence: Historical Analysis
historical-analysis,research-knowledge,synthesize-decision-historical-analysis,library/skills/research-knowledge/synthesize-decision-historical-analysis,Synthesize Decision: Historical Analysis
policy-research,research-knowledge,verify-evidence-policy-research,library/skills/research-knowledge/verify-evidence-policy-research,Verify Evidence: Policy Research
policy-research,research-knowledge,synthesize-decision-policy-research,library/skills/research-knowledge/synthesize-decision-policy-research,Synthesize Decision: Policy Research
technical-writing,research-knowledge,verify-evidence-technical-writing,library/skills/research-knowledge/verify-evidence-technical-writing,Verify Evidence: Technical Writing
technical-writing,research-knowledge,synthesize-decision-technical-writing,library/skills/research-knowledge/synthesize-decision-technical-writing,Synthesize Decision: Technical Writing
decision-memos,research-knowledge,verify-evidence-decision-memos,library/skills/research-knowledge/verify-evidence-decision-memos,Verify Evidence: Decision Memos
decision-memos,research-knowledge,synthesize-decision-decision-memos,library/skills/research-knowledge/synthesize-decision-decision-memos,Synthesize Decision: Decision Memos
